Keyword,Volume,Topic,Pillar,Page,Page role,Page intent,Keyword intent,Intent source
cloud siem security,170,Cybersecurity Services,SIEM Overview,Cloud-Based SIEM Solutions,Supporting,Commercial,Commercial,text
managed threat response,170,Cybersecurity Services,Managed Detection and Response,Managed Threat Detection Services Guide,Supporting,Commercial,Commercial,text
siem full form,170,Cybersecurity Services,SIEM Overview,Understanding SIEM Meaning,Pillar page,Informational,Informational,text
siem applications,170,Cybersecurity Services,SIEM Overview,Top SIEM Solutions Available,Supporting,Commercial,Informational,text
what is digital risk protection,170,Threat Management,Digital Risk Protection,Digital Risk Protection Solutions,Pillar page,Commercial,Informational,text
ciem vendors,140,Cybersecurity Practices,Cloud Security Vendors,Leading CIEM Vendors Comparison,Supporting,Commercial,Commercial,text
adversarial artificial intelligence,140,Compliance and Governance,Adversarial AI,Understanding Adversarial AI,Pillar page,Informational,Informational,text
external pen testing,140,Threat Management,Penetration Testing Overview,External Penetration Testing Overview,Supporting,Commercial,Commercial,text
external attack surface monitoring,140,Security Management,Attack Surface Management,External Attack Surface Management Overview,Supporting,Commercial,Commercial,text
cspm cloud,140,Cybersecurity Practices,Cloud Security Posture Management,CSPM for Cloud Security Explained,Supporting,Commercial,Commercial,text
ciem solutions,140,Cybersecurity Practices,CIEM Overview,Top CIEM Solutions Available,Supporting,Commercial,Commercial,text
cyber siem,140,Cybersecurity Services,SIEM Overview,SIEM in Cybersecurity Context,Supporting,Mixed,Commercial,text
attack surface management companies,140,Security Management,Attack Surface Management,Top Attack Surface Management Solutions,Pillar page,Commercial,Commercial,text
attack surface management software,140,Security Management,Attack Surface Management,Top Attack Surface Management Solutions,Pillar page,Commercial,Commercial,text
what is the attack surface of social engineering,140,Threat Management,Social Engineering Overview,Exploring Social Engineering Attack Surfaces,Supporting,Informational,Informational,text
what is user behavior analytics,140,Threat Management,User Behavior Analytics,Understanding User Behavior Analytics,Pillar page,Commercial,Informational,text
attack surface management tool,140,Security Management,Attack Surface Management,Top Attack Surface Management Solutions,Pillar page,Commercial,Commercial,text
cyber security assessment tool,140,Risk Management,Cybersecurity Risk Management,Top Cybersecurity Risk Assessment Tools,Supporting,Commercial,Commercial,text
what does xdr stand for,140,Cybersecurity Services,XDR Cybersecurity Solutions,What Is XDR Explained,Supporting,Informational,Informational,text
what is vulnerability management system,140,Threat Management,Vulnerability Management,Vulnerability Management Overview,Supporting,Commercial,Informational,text
what is siem and how it works,140,Cybersecurity Services,SIEM Overview,What Is SIEM Technology?,Supporting,Informational,Informational,text
easm security,140,Cybersecurity Services,EASM Cybersecurity Solutions,EASM Cybersecurity Insights,Supporting,Commercial,Commercial,text
digital risk protection program,140,Threat Management,Digital Risk Protection,Digital Risk Protection Solutions,Pillar page,Commercial,Commercial,text
what is zero trust model,140,Security Management,Zero Trust Security,Understanding Zero Trust Security,Supporting,Informational,Informational,text
vulnerability management platforms,140,Threat Management,Vulnerability Management,Vulnerability Management Overview,Supporting,Commercial,Commercial,text
continuous attack surface testing,140,Security Management,Attack Surface Management,Continuous Attack Surface Monitoring Explained,Supporting,Commercial,Commercial,text
what is caasm,140,Cybersecurity Practices,CaaS Security Insights,Understanding CAASM Concepts,Pillar page,Mixed,Informational,text
siem product,140,Cybersecurity Services,SIEM Overview,Top SIEM Solutions Available,Supporting,Commercial,Commercial,text
mdr vendor,140,Cybersecurity Services,MDR Cybersecurity Solutions,Leading MDR Vendors List,Supporting,Commercial,Commercial,text
managed security as a service,140,Cybersecurity Services,Managed Security Solutions,Top Managed Security Services,Supporting,Commercial,Commercial,text
next generation antivirus solution,140,Cybersecurity Services,Next Generation Antivirus,Next Generation Antivirus Solutions,Pillar page,Commercial,Commercial,text
remote code execution exploit,140,Threat Management,Remote Code Execution,Understanding Remote Code Execution,Pillar page,Informational,Informational,text
siem companies,140,Cybersecurity Services,SIEM Overview,SIEM Companies and Consulting,Supporting,Mixed,Commercial,text
monitoring network traffic,140,Threat Management,Network Traffic Analysis,Top Network Traffic Monitors,Pillar page,Commercial,Informational,text
soar security tools,140,Cybersecurity Services,SOAR in Cybersecurity,SOAR Security Tools Overview,Pillar page,Mixed,Commercial,text
siem features,140,Cybersecurity Services,SIEM Overview,Top SIEM Solutions Available,Supporting,Commercial,Informational,text
security vulnerability management,140,Threat Management,Vulnerability Management,Vulnerability Management Overview,Supporting,Commercial,Informational,text
siem or seim,140,Cybersecurity Services,SIEM Overview,Understanding SEIM vs SIEM,Supporting,Informational,Informational,text
managed threat detection and response services,140,Cybersecurity Services,Managed Detection and Response,Managed Threat Detection Services Guide,Supporting,Commercial,Commercial,text
pen test tool,140,Threat Management,Penetration Testing Overview,Best Pen Test Tools,Supporting,Commercial,Commercial,text
siem technologies,140,Cybersecurity Services,SIEM Overview,Top SIEM Solutions Available,Supporting,Commercial,Informational,text
runtime application security protection,140,Cybersecurity Practices,Runtime Application Security,Runtime Application Security Solutions,Pillar page,Commercial,Commercial,text
mssp siem,140,Cybersecurity Services,SIEM Overview,MSSP SIEM Services Overview,Supporting,Commercial,Commercial,text
managed detection and response companies,140,Cybersecurity Services,Managed Detection and Response,Comprehensive Managed Detection Services,Pillar page,Commercial,Commercial,text
threat detection cyber security,140,Threat Management,Threat Detection Solutions,Detecting Cyber Threats Effectively,Supporting,Informational,Informational,text
threat intel platforms,140,Threat Management,Threat Intelligence Solutions,Top Threat Intelligence Platforms,Pillar page,Commercial,Commercial,text
kubernetes security solutions,140,Cybersecurity Practices,Kubernetes Security Solutions,Kubernetes Security Solutions Overview,Pillar page,Mixed,Commercial,text
managed detection,140,Cybersecurity Services,Managed Detection and Response,Managed Detection Services Overview,Supporting,Mixed,Commercial,text
siem tools meaning,140,Cybersecurity Services,SIEM Overview,Popular SIEM Tools Explained,Supporting,Informational,Informational,text
siem ai,140,Cybersecurity Services,SIEM Solutions,Benefits of AI in SIEM,Supporting,Commercial,Commercial,text
siem threat intelligence,140,Cybersecurity Services,SIEM Overview,SIEM and Threat Intelligence,Supporting,Commercial,Commercial,text
siem and log management,110,Cybersecurity Services,SIEM Overview,SIEM Logging and Management,Supporting,Informational,Informational,text
vulnerability management systems,110,Threat Management,Vulnerability Management,Vulnerability Management Overview,Supporting,Commercial,Commercial,text
xdr tool,110,Cybersecurity Services,XDR Cybersecurity Solutions,Understanding XDR Solutions,Pillar page,Commercial,Commercial,text
what is easm,110,Cybersecurity Services,EASM Cybersecurity Solutions,Understanding EASM Basics,Supporting,Informational,Informational,text
vulnerability management vendors,110,Threat Management,Vulnerability Management,Vulnerability Management Overview,Supporting,Commercial,Commercial,text
siem as a managed service,110,Cybersecurity Services,SIEM Overview,SIEM Management Services Explained,Supporting,Commercial,Commercial,text
managed detection and response pricing,110,Cybersecurity Services,Managed Detection and Response,Comprehensive Managed Detection Services,Pillar page,Commercial,Transactional,text
managed xdr service,110,Cybersecurity Services,XDR Cybersecurity Solutions,Managed XDR Services Guide,Supporting,Commercial,Commercial,text
siem security vendors,110,Cybersecurity Services,SIEM Overview,Top SIEM Solutions Available,Supporting,Commercial,Commercial,text
managed vulnerability services,110,Threat Management,Vulnerability Management,Managed Vulnerability Services,Supporting,Commercial,Commercial,text
cyber risk assessment tools,110,Risk Management,Cybersecurity Risk Management,Top Cybersecurity Risk Assessment Tools,Supporting,Commercial,Commercial,text
cspm cloud security,110,Cybersecurity Practices,Cloud Security Posture Management,CSPM for Cloud Security Explained,Supporting,Commercial,Commercial,text
siem tool meaning,110,Cybersecurity Services,SIEM Overview,Popular SIEM Tools Explained,Supporting,Informational,Informational,text
what are it vulnerabilities and threats,110,Threat Management,Vulnerability Management,IT Vulnerabilities and Threats,Supporting,Informational,Informational,text
what is an siem,110,Cybersecurity Services,SIEM Overview,What Is SIEM Technology?,Supporting,Informational,Informational,text
web application vulnerability assessment,110,Cybersecurity Practices,Application Security Solutions,Web Application Security Assessment Guide,Supporting,Mixed,Informational,text
siem network,110,Cybersecurity Services,SIEM Overview,Top SIEM Solutions Available,Supporting,Commercial,Commercial,text
mdr for microsoft,110,Cybersecurity Services,MDR Cybersecurity Solutions,MDR Solutions for Enterprises,Supporting,Commercial,Commercial,text
cybersecurity asset management platform,110,Risk Management,Cybersecurity Risk Management,Cyber Security Asset Management Solutions,Supporting,Commercial,Commercial,text
managed detection services,110,Cybersecurity Services,Managed Detection and Response,Managed Detection Services Overview,Supporting,Mixed,Transactional,text
cybersecurity siem,110,Cybersecurity Services,SIEM Overview,SIEM in Cybersecurity Context,Supporting,Mixed,Commercial,text
what is cloud workload protection,110,Cybersecurity Practices,Cloud Security Solutions,Cloud Workload Protection Explained,Supporting,Mixed,Informational,text
managed detection and response tools,110,Cybersecurity Services,Managed Detection and Response,Comprehensive Managed Detection Services,Pillar page,Commercial,Commercial,text
co-managed siem,110,Cybersecurity Services,SIEM Overview,Co-Managed SIEM Services,Supporting,Commercial,Commercial,text
digital risk protection software,110,Threat Management,Digital Risk Protection,Digital Risk Protection Solutions,Pillar page,Commercial,Commercial,text
soc vs mdr,110,Cybersecurity Services,MDR Cybersecurity Solutions,MDR vs SOC Comparison,Supporting,Informational,Informational,text
threat actors cyber security,110,Threat Management,Threat Modeling Concepts,Threat Actors in Cyber Security,Supporting,Informational,Informational,text
threat detection and incident response,110,Threat Management,Threat Detection Solutions,Understanding Threat Detection and Response,Supporting,Commercial,Commercial,text
vuln management,110,Threat Management,Vulnerability Management,Vulnerability Management Tools,Supporting,Commercial,Commercial,text
asset discovery tool,110,Risk Management,IT Asset Management,Best Asset Discovery Software,Supporting,Commercial,Commercial,text
backdoor in cyber security,110,Threat Management,Backdoor Cybersecurity,Backdoor Malware in Cyber Security,Supporting,Informational,Informational,text
ueba meaning,110,Threat Management,UEBA Overview,Defining UEBA Meaning,Supporting,Informational,Informational,text
exposure management cybersecurity,110,Risk Management,Cybersecurity Risk Management,Cyber Exposure Management Strategies,Supporting,Commercial,Commercial,text
security information event management siem tools,110,Cybersecurity Services,SIEM Overview,Security Information Management Systems,Supporting,Commercial,Commercial,text
network traffic monitors,110,Threat Management,Network Traffic Analysis,Top Network Traffic Monitors,Pillar page,Commercial,Commercial,text
tip threat intelligence platform,110,Threat Management,Threat Intelligence Platforms,Top Threat Intelligence Platforms,Pillar page,Commercial,Commercial,text
advanced threat management,110,Threat Management,Advanced Threat Protection,Advanced Threat Protection Solutions,Pillar page,Commercial,Commercial,text
how to prevent man in the middle attack,110,Threat Management,Man-in-the-Middle Attacks,Preventing Man In The Middle Attacks,Supporting,Informational,Informational,text
seim or siem,110,Cybersecurity Services,SIEM Overview,Understanding SEIM vs SIEM,Supporting,Informational,Informational,text
threat hunting as a service,110,Threat Management,Threat Hunting Solutions,Threat Hunting Service Overview,Pillar page,Transactional,Transactional,text
flexible mdr solutions with custom integrations,110,Cybersecurity Services,Custom MDR Solutions,Custom Flexible MDR Solutions,Pillar page,Commercial,Commercial,text
ai vulnerability management,110,Threat Management,Vulnerability Management,AI in Vulnerability Management,Supporting,Commercial,Commercial,text
xdr cyber,110,Cybersecurity Services,XDR Cybersecurity Solutions,XDR in Cybersecurity Overview,Supporting,Commercial,Commercial,text
digital risk protection strategy,110,Threat Management,Digital Risk Protection,Digital Risk Protection Solutions,Pillar page,Commercial,Commercial,text
gdpr security controls,110,Compliance and Governance,Critical Security Controls,Understanding GDPR Security Controls,Supporting,Informational,Informational,text
vulnerability management companies,110,Threat Management,Vulnerability Management,Vulnerability Management Overview,Supporting,Commercial,Commercial,text
shared security responsibility model,110,Cybersecurity Practices,Cloud Security Responsibility,Cloud Security Shared Responsibility Model,Supporting,Informational,Informational,text
what is network telemetry,110,Threat Management,Network Telemetry Insights,Introduction to Network Telemetry,Pillar page,Informational,Informational,text
edr agent,110,Cybersecurity Services,EDR Security Solutions,Role of EDR Agents,Supporting,Commercial,Commercial,text
easm tools,110,Cybersecurity Services,EASM Cybersecurity Solutions,Top EASM Solutions Overview,Pillar page,Commercial,Commercial,text
internal attack surface management,110,Security Management,Attack Surface Management,External Attack Surface Management Overview,Supporting,Commercial,Commercial,text
attack surface assessment,90,Security Management,Attack Surface Management,Comprehensive Attack Surface Analysis,Supporting,Mixed,Commercial,text
mdr security systems,90,Cybersecurity Services,MDR Cybersecurity Solutions,MDR Security Services Overview,Supporting,Mixed,Commercial,text
cloud vulnerability scanner,90,Cybersecurity Practices,Cloud Security Solutions,Cloud Vulnerability Management Insights,Supporting,Mixed,Commercial,text
container security monitoring,90,Cybersecurity Practices,Container Security Essentials,Top Container Security Solutions,Pillar page,Commercial,Commercial,text
cwpp security,90,Cybersecurity Practices,Cloud Security Posture Management,Understanding CWPP Security Solutions,Supporting,Informational,Commercial,text
top vulnerability management tools,90,Threat Management,Vulnerability Management,Vulnerability Management Overview,Supporting,Commercial,Commercial,text
managed detection and response software,90,Cybersecurity Services,Managed Detection and Response,Comprehensive Managed Detection Services,Pillar page,Commercial,Commercial,text
kubernetes security tool,90,Cybersecurity Practices,Kubernetes Security Solutions,Kubernetes Security Solutions Overview,Pillar page,Mixed,Commercial,text
incident response as a service,90,Risk Management,Incident Response Solutions,Managed Incident Response Services,Pillar page,Commercial,Commercial,text
threat actors cyber,90,Threat Management,Threat Modeling Concepts,Threat Actors in Cyber Security,Supporting,Informational,Informational,text
endpoint detection tools,90,Cybersecurity Practices,Endpoint Detection Solutions,Effective Endpoint Detection Strategies,Pillar page,Commercial,Commercial,text
cyber risk assessment tool,90,Risk Management,Cybersecurity Risk Management,Top Cybersecurity Risk Assessment Tools,Supporting,Commercial,Commercial,text
behavioral analytics security,70,Threat Management,User Behavior Analytics,Understanding User Behavior Analytics,Pillar page,Commercial,Commercial,text
ai security compliance,70,Cybersecurity Practices,Security in Technology,Understanding AI Security Vulnerabilities,Supporting,Informational,Commercial,text
enterprise vulnerability assessment,70,Threat Management,Vulnerability Management,Enterprise Vulnerability Management,Supporting,Commercial,Commercial,text
vulnerability prioritization tools,70,Threat Management,Vulnerability Management,Vulnerability Prioritization Techniques,Supporting,Mixed,Commercial,text
managed xdr for saas,70,Cybersecurity Services,XDR Cybersecurity Solutions,Managed XDR Services Guide,Supporting,Commercial,Commercial,text
siem demo,70,Cybersecurity Services,SIEM Overview,Understanding SIEM Meaning,Pillar page,Informational,Transactional,text
top attack surface management vendors,50,Security Management,Attack Surface Management,External Attack Surface Management Overview,Supporting,Commercial,Commercial,text
how to prevent security misconfiguration,50,Threat Management,Man-in-the-Middle Attacks,Preventing Man In The Middle Attacks,Supporting,Informational,Informational,text
security operations center companies,50,Cybersecurity Services,Managed Security Solutions,Security Operations Center Solutions,Supporting,Commercial,Commercial,text
cyber risk assessment software,50,Risk Management,Cybersecurity Risk Management,Top Cybersecurity Risk Assessment Tools,Supporting,Commercial,Commercial,text
microsoft mdr service,50,Cybersecurity Services,MDR Cybersecurity Solutions,Microsoft MDR Services Explained,Supporting,Commercial,Commercial,text
xdr security meaning,40,Cybersecurity Services,XDR Cybersecurity Solutions,XDR in Cybersecurity Overview,Supporting,Commercial,Informational,text
data loss prevention framework,40,Cybersecurity Practices,Data Loss Prevention,Data Loss Prevention Explained,Pillar page,Informational,Informational,text
mdr information security,40,Cybersecurity Services,MDR Cybersecurity Solutions,MDR Security Services Overview,Supporting,Mixed,Commercial,text
tools for vulnerability assessment,30,Threat Management,Vulnerability Management,Vulnerability Assessment Solutions,Pillar page,Commercial,Commercial,text
exposure assessment platform,30,Risk Management,Exposure Assessment Solutions,Understanding Exposure Assessment Platforms,Pillar page,Informational,Commercial,text
edr product,30,Cybersecurity Services,EDR Security Solutions,Understanding EDR Products,Pillar page,Commercial,Commercial,text
rasp,27100,Cybersecurity Practices,RASP Overview,Top RASP Solutions,Pillar page,Commercial,Commercial,text
open source intelligence,9900,Threat Management,Open Source Intelligence,Understanding Open Source Intelligence,Pillar page,Informational,Informational,text
cmmc compliance,9900,Compliance and Governance,CMMC Compliance Solutions,CMMC Compliance Software Overview,Pillar page,Mixed,Informational,text
casb,8100,Cybersecurity Practices,CASB Solutions,Exploring CASB Solutions and Vendors,Pillar page,Commercial,Commercial,text
botnet,6600,Threat Management,Botnet Overview,Botnet Attacks and Their Meaning,Supporting,Informational,Informational,text
intrusion detection system,5400,Cybersecurity Services,Intrusion Detection Systems,Intrusion Detection And Prevention Overview,Pillar page,Mixed,Commercial,text
hitl,5400,Cybersecurity Practices,HITL Overview,Understanding HITL Meaning,Pillar page,Informational,Informational,text
data integrity,5400,Cybersecurity Practices,Data Integrity Overview,Understanding Data Integrity,Pillar page,Informational,Informational,text
penetration testing services,3600,Threat Management,Penetration Testing Overview,Choosing Pen Testing Services,Supporting,Transactional,Transactional,text
spear phishing meaning,3600,Threat Management,Spear Phishing Overview,Understanding Spear Phishing Attacks,Pillar page,Informational,Informational,text
nist framework,2900,Compliance and Governance,NIST Cybersecurity Framework,Understanding NIST Frameworks,Pillar page,Informational,Informational,text
sandboxing,2400,Cybersecurity Practices,Sandboxing in Cybersecurity,Understanding Sandboxing in Cybersecurity,Pillar page,Informational,Informational,text
web application security,2400,Cybersecurity Practices,Application Security Solutions,Web Application Security Assessment Guide,Supporting,Mixed,Commercial,text
cves,2400,Threat Management,CVE Vulnerability Insights,What Is a CVE?,Pillar page,Informational,Informational,text
advanced threat protection,1900,Threat Management,Advanced Threat Protection,Advanced Threat Protection Solutions,Pillar page,Commercial,Commercial,text
what is data encryption,1900,Cybersecurity Practices,Data Encryption Overview,What Is Data Encryption?,Pillar page,Informational,Informational,text
iam identity access management,1900,Security Management,Identity Access Management,Comprehensive IAM Tools Guide,Supporting,Commercial,Informational,text
network penetration testing,1900,Threat Management,Penetration Testing Overview,Types of Penetration Testing,Pillar page,Mixed,Informational,text
continuous integration means,1900,Cybersecurity Practices,Continuous Integration Overview,Understanding Continuous Integration,Pillar page,Informational,Informational,text
malware attack,1600,Threat Management,Malware Attacks Overview,Defining Malware Attacks,Pillar page,Informational,Informational,text
soc reports,1600,Security Management,SOC Reporting Insights,Comprehensive Guide to SOC Reports,Pillar page,Informational,Informational,text
what is waf,1600,Cybersecurity Practices,WAF Security Solutions,Understanding Web Application Firewalls,Pillar page,Informational,Informational,text
rasp tools,1300,Cybersecurity Practices,RASP Overview,Essential RASP Tools Guide,Supporting,Informational,Informational,text
what is network security,1300,Cybersecurity Services,Network Security Solutions,What Is Network Security?,Supporting,Informational,Informational,text
osint open source intelligence,1300,Threat Management,Open Source Intelligence,What Is OSINT Explained,Supporting,Informational,Informational,text
dark net,1300,Threat Management,Dark Web Insights,Comprehensive Dark Web Guide,Pillar page,Informational,Informational,text
nist framework cybersecurity,1300,Compliance and Governance,NIST Cybersecurity Framework,Understanding NIST Frameworks,Pillar page,Informational,Informational,text
fedramp compliance,1300,Compliance and Governance,FedRAMP Overview,Understanding FedRAMP Compliance,Pillar page,Informational,Informational,text
mxdr,1300,Cybersecurity Services,XDR Cybersecurity Solutions,MXDR Solutions Overview,Supporting,Commercial,Informational,text
what is malvertising,1300,Threat Management,Malvertising Explained,Understanding Malvertising Concepts,Pillar page,Informational,Informational,text
security orchestration automation and response,1000,Cybersecurity Services,Security Orchestration Automation,Guide to SOAR and Automation,Pillar page,Informational,Informational,text
types of phishing attacks,1000,Threat Management,Spear Phishing Overview,Types of Phishing Attacks Explained,Supporting,Informational,Informational,text
application security services,1000,Cybersecurity Practices,Application Security Solutions,Comprehensive Application Security Solutions,Supporting,Commercial,Commercial,text
penetration testing companies,1000,Threat Management,Penetration Testing Overview,Choosing Pen Testing Services,Supporting,Transactional,Commercial,text
penetration testing as a service,1000,Threat Management,Penetration Testing Overview,Penetration Testing as a Service,Supporting,Transactional,Transactional,text
network scanning tools,1000,Cybersecurity Services,Network Scanning Solutions,Top Network Scanning Tools,Pillar page,Commercial,Commercial,text
security risk management,1000,Risk Management,Cybersecurity Risk Management,Comprehensive Security Risk Management,Supporting,Informational,Informational,text
vulnerability management as a service,880,Threat Management,Vulnerability Management,Vulnerability Management Overview,Supporting,Commercial,Transactional,text
siem integration,880,Cybersecurity Services,SIEM Overview,Top SIEM Solutions Available,Supporting,Commercial,Commercial,text
risk intelligence,880,Compliance and Governance,AI Risk Management Solutions,Top Risk Intelligence Solutions,Supporting,Commercial,Informational,text
identity management access,880,Security Management,Identity Access Management,Identity Management Systems Explained,Supporting,Mixed,Informational,text
iac meaning,880,Cybersecurity Practices,Infrastructure as Code,IAC Meaning and Security Insights,Supporting,Informational,Informational,text
vulnerability assessment services,880,Threat Management,Vulnerability Management,Vulnerability Assessment Solutions,Pillar page,Commercial,Transactional,text
intrusion detection and prevention systems,880,Cybersecurity Services,Intrusion Detection Systems,Intrusion Detection And Prevention Overview,Pillar page,Mixed,Commercial,text
zero trust security solutions,880,Security Management,Zero Trust Security,Exploring Zero Trust Architecture,Pillar page,Informational,Commercial,text
application security assessment,880,Cybersecurity Practices,Application Security Solutions,Application Security Testing Overview,Supporting,Mixed,Transactional,text
web application firewalls,880,Cybersecurity Practices,Application Security Solutions,Understanding Web Application Firewalls,Pillar page,Commercial,Commercial,text
ai risk management framework,880,Compliance and Governance,AI Risk Management Solutions,AI Risk Management Overview,Pillar page,Mixed,Informational,text
what is a soc report,880,Security Management,SOC Reporting Insights,What Is a SOC Report?,Supporting,Informational,Informational,text
identity management system,720,Security Management,Identity Access Management,Identity Management Systems Explained,Supporting,Mixed,Commercial,text
web app firewall,720,Cybersecurity Practices,Application Security Solutions,Understanding Web Application Firewalls,Pillar page,Commercial,Commercial,text
threat modelling,720,Threat Management,Threat Modeling Concepts,Threat Modeling Frameworks and Process,Supporting,Informational,Informational,text
cloud access security broker casb,720,Cybersecurity Practices,CASB Solutions,Understanding Cloud Access Security Brokers,Supporting,Commercial,Commercial,text
network security monitoring tools,720,Cybersecurity Services,Network Security Solutions,Top Network Security Monitoring Tools,Supporting,Commercial,Commercial,text
what is a ransomware attack,720,Threat Management,Ransomware Awareness,Understanding Ransomware Attacks,Pillar page,Informational,Informational,text
breach and attack simulation,720,Threat Management,Breach Attack Simulation,Top Breach And Attack Simulation Tools,Pillar page,Commercial,Commercial,text
information security risk assessment,720,Risk Management,Cybersecurity Risk Management,Information Security Risk Assessment Insights,Supporting,Mixed,Commercial,text
what is mssp,720,Cybersecurity Services,MSSP Overview,Understanding MSSP Meaning,Pillar page,Informational,Informational,text
denial of service attacks,720,Threat Management,Denial of Service Attacks,Understanding DDoS and DoS Attacks,Pillar page,Informational,Informational,text
dark web monitoring tools,720,Threat Management,Dark Web Insights,Dark Web Monitoring Explained,Supporting,Mixed,Commercial,text
what is a red team,590,Threat Management,Red Teaming Concepts,Introduction to Red Teaming,Pillar page,Informational,Informational,text
botnet meaning,590,Threat Management,Botnet Overview,Botnet Attacks and Their Meaning,Supporting,Informational,Informational,text
what is itam,590,Risk Management,IT Asset Management,What Is ITAM?,Supporting,Informational,Informational,text
it asset inventory,590,Risk Management,IT Asset Management,Overview of IT Asset Inventory,Supporting,Informational,Commercial,text
cloud iam,590,Cybersecurity Practices,Cloud Security Solutions,Cloud IAM and Risk Management,Supporting,Mixed,Commercial,text
cd/ci,590,Cybersecurity Practices,CI/CD Fundamentals,What Is CI/CD Explained,Pillar page,Informational,Informational,text
network and cloud security,590,Cybersecurity Services,Network Security Solutions,Cloud Network Security Solutions,Supporting,Commercial,Commercial,text
what is software development life cycle,590,Miscellaneous,Software Development Life Cycle,Overview of Software Development Life Cycle,Pillar page,Informational,Informational,text
external penetration testing,590,Threat Management,Penetration Testing Overview,External Penetration Testing Overview,Supporting,Commercial,Commercial,text
pci compliance services,590,Compliance and Governance,PCI Compliance Solutions,PCI Compliance Solutions Overview,Pillar page,Transactional,Transactional,text
risk management platform,590,Compliance and Governance,AI Risk Management Solutions,Best Risk Management Platforms,Supporting,Commercial,Commercial,text
microsoft mdr,480,Cybersecurity Services,MDR Cybersecurity Solutions,Microsoft MDR Services Explained,Supporting,Commercial,Commercial,text
network scanner tool,480,Cybersecurity Services,Network Scanning Solutions,Top Network Scanning Tools,Pillar page,Commercial,Commercial,text
what is third party risk management,480,Risk Management,Third Party Risk Management,Understanding Third Party Risk Management,Pillar page,Informational,Informational,text
what is tprm,480,Risk Management,TPRM Overview,Understanding TPRM Programs,Pillar page,Informational,Informational,text
managed security provider,480,Cybersecurity Services,Managed Security Solutions,Leading Managed Security Providers,Supporting,Commercial,Commercial,text
malvertising meaning,480,Threat Management,Malvertising Explained,Understanding Malvertising Concepts,Pillar page,Informational,Informational,text
exploit database,480,Threat Management,Exploit Resources,Exploit Database Insights,Supporting,Informational,Informational,text
least privileged access,480,Security Management,Least Privilege Access,Understanding Least Privilege Principle,Pillar page,Informational,Informational,text
explain data integrity,480,Cybersecurity Practices,Data Integrity Overview,Understanding Data Integrity,Pillar page,Informational,Informational,text
it security risk management,480,Risk Management,Cybersecurity Risk Management,Comprehensive Security Risk Management,Supporting,Informational,Commercial,text
web app security,480,Cybersecurity Practices,Application Security Solutions,Web Application Security Assessment Guide,Supporting,Mixed,Commercial,text
threat modeling process,480,Threat Management,Threat Modeling Concepts,Threat Modeling Frameworks and Process,Supporting,Informational,Informational,text
what is data masking,480,Cybersecurity Practices,Data Masking Overview,Understanding Data Masking Types,Supporting,Informational,Informational,text
vulnerability assessment report,390,Threat Management,Vulnerability Management,Vulnerability Assessment Solutions,Pillar page,Commercial,Commercial,text
what is abac,390,Security Management,ABAC Overview,Understanding ABAC Definition,Pillar page,Informational,Informational,text
infrastructure as code iac,390,Cybersecurity Practices,Infrastructure as Code,Understanding Infrastructure As Code,Pillar page,Informational,Informational,text
mdr vendors,390,Cybersecurity Services,MDR Cybersecurity Solutions,Leading MDR Vendors List,Supporting,Commercial,Commercial,text
automated patch management,390,Threat Management,Patch Management Strategies,Understanding Patch Management Basics,Supporting,Mixed,Commercial,text
network detection and response solutions,390,Cybersecurity Services,Managed Detection and Response,Network Detection and Response Explained,Supporting,Commercial,Commercial,text
what is a casb,390,Cybersecurity Practices,CASB Solutions,Exploring CASB Solutions and Vendors,Pillar page,Commercial,Informational,text
threat vs vulnerability,390,Threat Management,Vulnerability Management,Threat vs Vulnerability Comparison,Supporting,Informational,Informational,text
monitor network traffic,390,Threat Management,Network Traffic Analysis,Top Network Traffic Monitors,Pillar page,Commercial,Informational,text
network traffic analysis tools,390,Threat Management,Network Traffic Analysis,Essential Network Traffic Analysis Tools,Supporting,Commercial,Commercial,text
red team meaning,390,Threat Management,Red Teaming Concepts,Understanding Red Team Meaning,Supporting,Informational,Informational,text
scap scan,390,Compliance and Governance,SCAP Compliance Framework,Understanding SCAP Compliance,Pillar page,Informational,Informational,text
red team testing,390,Threat Management,Red Teaming Concepts,Red Team Testing Services Overview,Supporting,Mixed,Informational,text
fedramp levels,390,Compliance and Governance,FedRAMP Overview,Exploring FedRAMP Levels,Supporting,Informational,Informational,text
managed extended detection and response,390,Cybersecurity Services,Managed Detection and Response,Overview of Extended Detection Solutions,Supporting,Commercial,Commercial,text
risk remediation,390,Risk Management,Risk Remediation Strategies,Understanding Risk Remediation,Pillar page,Informational,Informational,text
fedramp meaning,390,Compliance and Governance,FedRAMP Overview,Understanding FedRAMP Compliance,Pillar page,Informational,Informational,text
what is an mssp,390,Cybersecurity Services,MSSP Overview,Understanding MSSP Meaning,Pillar page,Informational,Informational,text
software penetration testing,390,Threat Management,Penetration Testing Overview,Types of Penetration Testing,Pillar page,Mixed,Commercial,text
external network penetration testing,320,Threat Management,Penetration Testing Overview,External Penetration Testing Overview,Supporting,Commercial,Commercial,text
threat models,320,Threat Management,Threat Modeling Concepts,Understanding Threat Models,Pillar page,Informational,Informational,text
operations technology,320,Cybersecurity Practices,Operational Technology Overview,Understanding Operational Technology,Pillar page,Informational,Informational,text
